Time,Fuel,Fan,Feed,Temp,O2
09/30/2012 09:00:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:00:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:00:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:00:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:00:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:00:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:01:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:02:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:03:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:04:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:05:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:06:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:20,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:30,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:40,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:07:50,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:08:00,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:08:10,19.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:08:20,22.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:08:30,22.99253112033195,90.0,100,899.9999999944482,5.0
09/30/2012 09:08:40,22.99253112033195,90.0,100,900.3599999944483,4.925
09/30/2012 09:08:50,22.99253112033195,90.0,100,900.6479999944484,4.86875
09/30/2012 09:09:00,22.99253112033195,90.0,100,900.8783999944483,4.8265625
09/30/2012 09:09:10,22.99253112033195,90.0,100,901.0627199944481,4.794921875
09/30/2012 09:09:20,22.99253112033195,90.0,100,901.2101759944483,4.77119140625
09/30/2012 09:09:30,22.99253112033195,90.0,100,901.3281407944482,4.7533935546875
09/30/2012 09:09:40,22.99253112033195,90.0,100,901.4225126344484,4.74004516601562
09/30/2012 09:09:50,22.99253112033195,90.0,100,901.4980101064482,4.73003387451172
09/30/2012 09:10:00,22.99253112033195,90.0,100,901.5584080840483,4.722525405883791
09/30/2012 09:10:10,22.99253112033195,90.0,100,901.6067264661285,4.71689405441284
09/30/2012 09:10:20,22.99253112033195,90.0,100,901.6453811717922,4.71267054080963
09/30/2012 09:10:30,22.99253112033195,90.0,100,901.6763049363233,4.70950290560722
09/30/2012 09:10:40,22.99253112033195,90.0,100,901.7010439479484,4.70712717920542
09/30/2012 09:10:50,22.99253112033195,90.0,100,901.7208351572483,4.70534538440406
09/30/2012 09:11:00,22.99253112033195,90.0,100,901.7366681246883,4.70400903830305
09/30/2012 09:11:10,22.99253112033195,90.0,100,901.7493344986403,4.70300677872729
09/30/2012 09:11:20,22.99253112033195,90.0,100,901.7594675978023,4.70225508404546
