AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
6.561739e+02 	 4.869042e-01 	 4.322472e-01 	  3.775903e-01 	 1.770928e+00
5.905732e+02 	 4.853973e-01 	 4.307404e-01 	  3.760834e-01 	 1.843087e+00
5.315308e+02 	 4.835434e-01 	 4.288864e-01 	  3.742295e-01 	 1.908051e+00
4.783912e+02 	 4.812643e-01 	 4.266074e-01 	  3.719504e-01 	 1.964526e+00
4.305642e+02 	 4.784654e-01 	 4.238085e-01 	  3.691516e-01 	 2.011445e+00
3.875187e+02 	 4.750325e-01 	 4.203756e-01 	  3.657187e-01 	 2.047943e+00
3.487767e+02 	 4.708285e-01 	 4.161716e-01 	  3.615147e-01 	 2.073309e+00
3.139079e+02 	 4.656903e-01 	 4.110334e-01 	  3.563764e-01 	 2.086907e+00
2.825250e+02 	 4.594257e-01 	 4.047687e-01 	  3.501118e-01 	 2.088101e+00
2.542797e+02 	 4.518113e-01 	 3.971544e-01 	  3.424975e-01 	 2.076184e+00
2.288582e+02 	 4.419975e-01 	 3.879359e-01 	  3.338743e-01 	 2.050325e+00
2.059782e+02 	 4.304105e-01 	 3.768309e-01 	  3.232513e-01 	 2.009548e+00
1.853856e+02 	 4.167323e-01 	 3.635394e-01 	  3.103465e-01 	 1.952763e+00
1.668517e+02 	 4.006497e-01 	 3.477637e-01 	  2.948776e-01 	 1.878861e+00
1.501708e+02 	 3.818914e-01 	 3.292452e-01 	  2.765989e-01 	 1.786914e+00
1.351575e+02 	 3.602901e-01 	 3.078276e-01 	  2.553652e-01 	 1.676527e+00
1.216452e+02 	 3.358838e-01 	 2.835587e-01 	  2.312336e-01 	 1.548406e+00
1.094837e+02 	 3.090729e-01 	 2.568477e-01 	  2.046225e-01 	 1.405230e+00
9.853815e+01 	 2.808454e-01 	 2.286916e-01 	  1.765379e-01 	 1.252899e+00
8.868683e+01 	 2.530478e-01 	 2.009474e-01 	  1.488469e-01 	 1.102027e+00
7.982040e+01 	 2.285373e-01 	 1.764851e-01 	  1.244329e-01 	 9.687698e-01
7.184038e+01 	 2.106907e-01 	 1.586996e-01 	  1.067085e-01 	 8.721641e-01
6.465817e+01 	 2.015997e-01 	 1.497076e-01 	  9.781554e-02 	 8.243173e-01
5.819399e+01 	 2.000014e-01 	 1.482819e-01 	  9.656232e-02 	 8.191906e-01
5.237607e+01 	 2.022623e-01 	 1.508377e-01 	  9.941319e-02 	 8.380908e-01
4.713979e+01 	 2.063998e-01 	 1.554570e-01 	  1.045141e-01 	 8.719239e-01
4.242700e+01 	 2.139585e-01 	 1.637622e-01 	  1.135659e-01 	 9.321659e-01
3.818538e+01 	 2.250358e-01 	 1.759348e-01 	  1.268338e-01 	 1.023794e+00
3.436781e+01 	 2.312373e-01 	 1.836534e-01 	  1.360695e-01 	 1.102784e+00
3.093190e+01 	 2.208754e-01 	 1.752676e-01 	  1.296598e-01 	 1.098029e+00
2.783950e+01 	 1.976070e-01 	 1.544108e-01 	  1.112145e-01 	 1.021370e+00
2.505625e+01 	 1.835714e-01 	 1.431260e-01 	  1.026806e-01 	 1.011116e+00
2.255126e+01 	 1.753030e-01 	 1.377887e-01 	  1.002745e-01 	 1.049468e+00
2.029671e+01 	 1.633331e-01 	 1.287373e-01 	  9.414149e-02 	 1.063243e+00
1.826755e+01 	 1.608390e-01 	 1.289528e-01 	  9.706661e-02 	 1.155526e+00
1.644126e+01 	 1.465710e-01 	 1.170045e-01 	  8.743789e-02 	 1.130715e+00
1.479755e+01 	 1.343727e-01 	 1.065696e-01 	  7.876657e-02 	 1.095197e+00
1.331817e+01 	 1.299392e-01 	 1.031821e-01 	  7.642503e-02 	 1.101837e+00
