FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
6.561739e+02 	 2.946005e-01 	 1.828664e-01 	  7.113225e-02 	 4.038056e-01
5.905732e+02 	 2.964375e-01 	 1.847034e-01 	  7.296926e-02 	 4.317808e-01
5.315308e+02 	 2.986454e-01 	 1.869112e-01 	  7.517709e-02 	 4.612067e-01
4.783912e+02 	 3.012834e-01 	 1.895492e-01 	  7.781509e-02 	 4.919459e-01
4.305642e+02 	 3.044131e-01 	 1.926790e-01 	  8.094483e-02 	 5.238821e-01
3.875187e+02 	 3.080947e-01 	 1.963605e-01 	  8.462638e-02 	 5.569282e-01
3.487767e+02 	 3.123809e-01 	 2.006467e-01 	  8.891259e-02 	 5.910254e-01
3.139079e+02 	 3.136361e-01 	 2.055749e-01 	  9.751374e-02 	 6.261240e-01
2.825250e+02 	 3.161120e-01 	 2.111556e-01 	  1.061992e-01 	 6.621457e-01
2.542797e+02 	 3.197111e-01 	 2.173572e-01 	  1.150033e-01 	 6.989236e-01
2.288582e+02 	 3.242784e-01 	 2.240875e-01 	  1.238967e-01 	 7.361216e-01
2.059782e+02 	 3.295799e-01 	 2.311705e-01 	  1.327610e-01 	 7.731354e-01
1.853856e+02 	 3.352770e-01 	 2.383194e-01 	  1.413619e-01 	 8.089799e-01
1.668517e+02 	 3.408991e-01 	 2.451093e-01 	  1.493196e-01 	 8.421720e-01
1.501708e+02 	 3.458172e-01 	 2.509502e-01 	  1.560831e-01 	 8.706270e-01
1.351575e+02 	 3.492282e-01 	 2.550712e-01 	  1.609141e-01 	 8.915963e-01
1.216452e+02 	 3.501633e-01 	 2.565295e-01 	  1.628958e-01 	 9.017058e-01
1.094837e+02 	 3.475478e-01 	 2.542711e-01 	  1.609944e-01 	 8.971883e-01
9.853815e+01 	 3.403571e-01 	 2.472861e-01 	  1.542152e-01 	 8.744709e-01
8.868683e+01 	 3.279381e-01 	 2.349318e-01 	  1.419255e-01 	 8.313604e-01
7.982040e+01 	 3.105916e-01 	 2.175151e-01 	  1.244386e-01 	 7.691467e-01
7.184038e+01 	 2.904746e-01 	 1.971957e-01 	  1.039169e-01 	 6.957839e-01
6.465817e+01 	 2.724779e-01 	 1.788653e-01 	  8.525266e-02 	 6.288565e-01
5.819399e+01 	 2.632603e-01 	 1.691821e-01 	  7.510388e-02 	 5.918685e-01
5.237607e+01 	 2.656922e-01 	 1.710175e-01 	  7.634291e-02 	 5.945207e-01
4.713979e+01 	 2.732386e-01 	 1.778418e-01 	  8.244491e-02 	 6.135637e-01
4.242700e+01 	 2.738651e-01 	 1.776332e-01 	  8.140128e-02 	 6.075261e-01
3.818538e+01 	 2.591511e-01 	 1.619972e-01 	  6.484335e-02 	 5.487915e-01
3.436781e+01 	 2.305253e-01 	 1.324071e-01 	  3.428884e-02 	 4.441415e-01
3.093190e+01 	 1.990439e-01 	 9.998764e-02 	  9.314078e-04 	 3.322190e-01
2.783950e+01 	 1.732952e-01 	 7.342274e-02 	  0.000000e+00 	 2.419607e-01
2.505625e+01 	 1.501275e-01 	 4.967823e-02 	  0.000000e+00 	 1.627718e-01
2.255126e+01 	 1.463561e-01 	 4.569179e-02 	  0.000000e+00 	 1.493905e-01
2.029671e+01 	 1.610022e-01 	 6.057639e-02 	  0.000000e+00 	 1.985262e-01
1.826755e+01 	 1.687061e-01 	 6.897909e-02 	  0.000000e+00 	 2.276484e-01
1.644126e+01 	 1.658718e-01 	 6.716646e-02 	  0.000000e+00 	 2.239607e-01
1.479755e+01 	 1.442271e-01 	 4.654415e-02 	  0.000000e+00 	 1.568217e-01
1.331817e+01 	 1.160351e-01 	 1.889049e-02 	  0.000000e+00 	 6.400064e-02
1.198669e+01 	 1.101907e-01 	 1.259393e-02 	  0.000000e+00 	 4.247035e-02
1.078833e+01 	 1.192440e-01 	 1.999350e-02 	  0.000000e+00 	 6.630039e-02
9.709767e+00 	 1.212767e-01 	 1.969287e-02 	  0.000000e+00 	 6.380346e-02
8.739037e+00 	 1.222845e-01 	 1.903682e-02 	  0.000000e+00 	 6.068397e-02
7.865355e+00 	 1.081101e-01 	 4.994914e-03 	  0.000000e+00 	 1.594282e-02
7.079019e+00 	 1.039606e-01 	 2.089924e-03 	  0.000000e+00 	 6.752138e-03
6.371296e+00 	 1.245834e-01 	 2.329243e-02 	  0.000000e+00 	 7.568395e-02
5.734328e+00 	 1.235748e-01 	 2.284029e-02 	  0.000000e+00 	 7.462486e-02
5.161041e+00 	 1.011505e-01 	 3.578281e-03 	  0.000000e+00 	 1.207003e-02
4.645068e+00 	 1.031073e-01 	 8.282461e-03 	  0.000000e+00 	 2.874732e-02
4.180679e+00 	 1.138445e-01 	 1.606892e-02 	  0.000000e+00 	 5.408991e-02
3.762717e+00 	 1.129799e-01 	 1.003910e-02 	  0.000000e+00 	 3.209718e-02
3.386540e+00 	 1.190019e-01 	 7.375937e-03 	  0.000000e+00 	 2.174763e-02
3.047972e+00 	 1.171429e-01 	 6.897325e-03 	  0.000000e+00 	 2.059109e-02
2.743252e+00 	 1.125573e-01 	 7.606917e-03 	  0.000000e+00 	 2.385528e-02
2.468997e+00 	 1.106853e-01 	 3.560416e-03 	  0.000000e+00 	 1.093881e-02
2.222160e+00 	 1.106615e-01 	 7.209715e-03 	  0.000000e+00 	 2.293719e-02
2.000000e+00 	 1.106615e-01 	 7.209715e-03 	  0.000000e+00 	 0.000000e+00
 
FIC-2101~TIC-2003  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 8.231198e-01 	 7.760578e-01 	  7.289958e-01 	 3.351162e+00
9.000254e+02 	 8.219370e-01 	 7.748750e-01 	  7.278130e-01 	 3.543689e+00
8.100456e+02 	 8.204798e-01 	 7.734178e-01 	  7.263558e-01 	 3.745644e+00
7.290616e+02 	 8.186855e-01 	 7.716235e-01 	  7.245615e-01 	 3.953552e+00
6.561739e+02 	 8.164774e-01 	 7.694154e-01 	  7.223534e-01 	 4.163220e+00
5.905732e+02 	 8.137622e-01 	 7.667003e-01 	  7.196383e-01 	 4.369882e+00
5.315308e+02 	 8.104265e-01 	 7.633646e-01 	  7.163026e-01 	 4.568412e+00
4.783912e+02 	 8.063332e-01 	 7.592712e-01 	  7.122092e-01 	 4.753568e+00
4.305642e+02 	 8.013173e-01 	 7.542553e-01 	  7.071933e-01 	 4.920244e+00
3.875187e+02 	 7.951818e-01 	 7.481198e-01 	  7.010578e-01 	 5.063669e+00
3.487767e+02 	 7.876933e-01 	 7.406313e-01 	  6.935693e-01 	 5.179545e+00
3.139079e+02 	 7.772525e-01 	 7.315163e-01 	  6.857800e-01 	 5.264089e+00
2.825250e+02 	 7.650814e-01 	 7.204594e-01 	  6.758375e-01 	 5.313992e+00
2.542797e+02 	 7.507976e-01 	 7.071043e-01 	  6.634110e-01 	 5.326335e+00
2.288582e+02 	 7.339855e-01 	 6.910592e-01 	  6.481329e-01 	 5.298489e+00
2.059782e+02 	 7.142109e-01 	 6.719119e-01 	  6.296129e-01 	 5.228081e+00
1.853856e+02 	 6.910480e-01 	 6.492559e-01 	  6.074638e-01 	 5.113063e+00
1.668517e+02 	 6.641239e-01 	 6.227348e-01 	  5.813456e-01 	 4.951955e+00
1.501708e+02 	 6.331854e-01 	 5.921093e-01 	  5.510333e-01 	 4.744314e+00
1.351575e+02 	 5.981919e-01 	 5.573504e-01 	  5.165090e-01 	 4.491455e+00
1.216452e+02 	 5.594279e-01 	 5.187513e-01 	  4.780748e-01 	 4.197351e+00
1.094837e+02 	 5.176081e-01 	 4.770335e-01 	  4.364589e-01 	 3.869498e+00
9.853815e+01 	 4.739109e-01 	 4.333798e-01 	  3.928487e-01 	 3.519174e+00
8.868683e+01 	 4.298182e-01 	 3.892751e-01 	  3.487319e-01 	 3.160086e+00
7.982040e+01 	 3.866296e-01 	 3.460199e-01 	  3.054102e-01 	 2.804341e+00
7.184038e+01 	 3.446796e-01 	 3.039488e-01 	  2.632179e-01 	 2.456048e+00
6.465817e+01 	 3.027792e-01 	 2.618718e-01 	  2.209644e-01 	 2.106914e+00
5.819399e+01 	 2.589301e-01 	 2.177896e-01 	  1.766492e-01 	 1.742320e+00
5.237607e+01 	 2.131508e-01 	 1.717204e-01 	  1.302900e-01 	 1.364151e+00
4.713979e+01 	 1.719279e-01 	 1.301523e-01 	  8.837672e-02 	 1.025391e+00
4.242700e+01 	 1.494500e-01 	 1.072794e-01 	  6.510881e-02 	 8.372718e-01
3.818538e+01 	 1.510433e-01 	 1.084391e-01 	  6.583503e-02 	 8.377115e-01
3.436781e+01 	 1.611464e-01 	 1.180903e-01 	  7.503422e-02 	 9.026921e-01
3.093190e+01 	 1.674403e-01 	 1.239449e-01 	  8.044951e-02 	 9.378758e-01
2.783950e+01 	 1.659426e-01 	 1.220640e-01 	  7.818536e-02 	 9.155765e-01
