AI-2020~FI-2005  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 3.963836e-01 	 3.536348e-01 	  3.108859e-01 	 1.303359e+00
9.000254e+02 	 3.962561e-01 	 3.535073e-01 	  3.107584e-01 	 1.374789e+00
8.100456e+02 	 3.960989e-01 	 3.533500e-01 	  3.106012e-01 	 1.445117e+00
7.290616e+02 	 3.959050e-01 	 3.531561e-01 	  3.104073e-01 	 1.512997e+00
6.561739e+02 	 3.956658e-01 	 3.529170e-01 	  3.101681e-01 	 1.577167e+00
5.905732e+02 	 3.953711e-01 	 3.526222e-01 	  3.098734e-01 	 1.636528e+00
5.315308e+02 	 3.950079e-01 	 3.522590e-01 	  3.095102e-01 	 1.690196e+00
4.783912e+02 	 3.945605e-01 	 3.518117e-01 	  3.090628e-01 	 1.737519e+00
4.305642e+02 	 3.940098e-01 	 3.512610e-01 	  3.085121e-01 	 1.778076e+00
3.875187e+02 	 3.933323e-01 	 3.505835e-01 	  3.078346e-01 	 1.811635e+00
3.487767e+02 	 3.924995e-01 	 3.497507e-01 	  3.070018e-01 	 1.838107e+00
3.139079e+02 	 3.914768e-01 	 3.487280e-01 	  3.059791e-01 	 1.857484e+00
2.825250e+02 	 3.902225e-01 	 3.474736e-01 	  3.047248e-01 	 1.869780e+00
2.542797e+02 	 3.886865e-01 	 3.459376e-01 	  3.031888e-01 	 1.874980e+00
2.288582e+02 	 3.868091e-01 	 3.440602e-01 	  3.013113e-01 	 1.873000e+00
2.059782e+02 	 3.845197e-01 	 3.417709e-01 	  2.990220e-01 	 1.863663e+00
1.853856e+02 	 3.817362e-01 	 3.389873e-01 	  2.962385e-01 	 1.846683e+00
1.668517e+02 	 3.783639e-01 	 3.356151e-01 	  2.928662e-01 	 1.821680e+00
1.501708e+02 	 3.745691e-01 	 3.315477e-01 	  2.885263e-01 	 1.788202e+00
1.351575e+02 	 3.700872e-01 	 3.266689e-01 	  2.832505e-01 	 1.745779e+00
1.216452e+02 	 3.648056e-01 	 3.208563e-01 	  2.769070e-01 	 1.694002e+00
1.094837e+02 	 3.586149e-01 	 3.139893e-01 	  2.693637e-01 	 1.632623e+00
9.853815e+01 	 3.514193e-01 	 3.059598e-01 	  2.605003e-01 	 1.561689e+00
8.868683e+01 	 3.431511e-01 	 2.966886e-01 	  2.502262e-01 	 1.481678e+00
7.982040e+01 	 3.337882e-01 	 2.861458e-01 	  2.385034e-01 	 1.393634e+00
7.184038e+01 	 3.233714e-01 	 2.743709e-01 	  2.253703e-01 	 1.299249e+00
6.465817e+01 	 3.120130e-01 	 2.614868e-01 	  2.109606e-01 	 1.200849e+00
5.819399e+01 	 2.998827e-01 	 2.476918e-01 	  1.955009e-01 	 1.101215e+00
5.237607e+01 	 2.871520e-01 	 2.332111e-01 	  1.792702e-01 	 1.003197e+00
4.713979e+01 	 2.738889e-01 	 2.181984e-01 	  1.625079e-01 	 9.091292e-01
4.242700e+01 	 2.599277e-01 	 2.026101e-01 	  1.452926e-01 	 8.202163e-01
3.818538e+01 	 2.448082e-01 	 1.861417e-01 	  1.274752e-01 	 7.362213e-01
3.436781e+01 	 2.279317e-01 	 1.683691e-01 	  1.088065e-01 	 6.559092e-01
3.093190e+01 	 2.090242e-01 	 1.491839e-01 	  8.934360e-02 	 5.784734e-01
2.783950e+01 	 1.887175e-01 	 1.293373e-01 	  6.995716e-02 	 5.054026e-01
2.505625e+01 	 1.685950e-01 	 1.104533e-01 	  5.231162e-02 	 4.408046e-01
2.255126e+01 	 1.499978e-01 	 9.382299e-02 	  3.764820e-02 	 3.875457e-01
2.029671e+01 	 1.326524e-01 	 7.904862e-02 	  2.544486e-02 	 3.421796e-01
1.826755e+01 	 1.159925e-01 	 6.540285e-02 	  1.481324e-02 	 2.999787e-01
1.644126e+01 	 1.012047e-01 	 5.391863e-02 	  6.632588e-03 	 2.645824e-01
1.479755e+01 	 8.824292e-02 	 4.444324e-02 	  6.435618e-04 	 2.354452e-01
1.331817e+01 	 7.567130e-02 	 3.551834e-02 	  0.000000e+00 	 2.052533e-01
1.198669e+01 	 6.461312e-02 	 2.837641e-02 	  0.000000e+00 	 1.817036e-01
1.078833e+01 	 5.362008e-02 	 2.188003e-02 	  0.000000e+00 	 1.599542e-01
9.709767e+00 	 4.294715e-02 	 1.682718e-02 	  0.000000e+00 	 1.494836e-01
8.739037e+00 	 3.142711e-02 	 1.244810e-02 	  0.000000e+00 	 1.521895e-01
7.865355e+00 	 2.052159e-02 	 9.203824e-03 	  0.000000e+00 	 1.886959e-01
7.079019e+00 	 1.290945e-02 	 6.846404e-03 	  7.833583e-04 	 2.620154e-01
6.371296e+00 	 9.820170e-03 	 5.071563e-03 	  3.229560e-04 	 2.478168e-01
5.734328e+00 	 7.871836e-03 	 3.807016e-03 	  0.000000e+00 	 2.173194e-01
5.161041e+00 	 5.544023e-03 	 2.662611e-03 	  0.000000e+00 	 2.144162e-01
4.645068e+00 	 5.087067e-03 	 2.181653e-03 	  0.000000e+00 	 1.742340e-01
4.180679e+00 	 4.652868e-03 	 2.003823e-03 	  0.000000e+00 	 1.755194e-01
3.762717e+00 	 4.323908e-03 	 1.480662e-03 	  0.000000e+00 	 1.208360e-01
3.386540e+00 	 3.926781e-03 	 1.252616e-03 	  0.000000e+00 	 1.086888e-01
3.047972e+00 	 5.632322e-03 	 1.130636e-03 	  0.000000e+00 	 5.827775e-02
2.743252e+00 	 9.006050e-03 	 1.093403e-03 	  0.000000e+00 	 3.206369e-02
2.468997e+00 	 2.611462e-02 	 1.098550e-03 	  0.000000e+00 	 1.018957e-02
2.222160e+00 	 3.306837e-02 	 1.013842e-03 	  0.000000e+00 	 7.338985e-03
2.000000e+00 	 3.306837e-02 	 1.013842e-03 	  0.000000e+00 	 0.000000e+00
 
AI-2020~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
1.000000e+03 	 4.503176e-01 	 4.060154e-01 	  3.617132e-01 	 1.297961e+00
9.000254e+02 	 4.498332e-01 	 4.055310e-01 	  3.612288e-01 	 1.374739e+00
8.100456e+02 	 4.492358e-01 	 4.049336e-01 	  3.606314e-01 	 1.451205e+00
7.290616e+02 	 4.484992e-01 	 4.041970e-01 	  3.598947e-01 	 1.525831e+00
6.561739e+02 	 4.475912e-01 	 4.032889e-01 	  3.589867e-01 	 1.597086e+00
5.905732e+02 	 4.464723e-01 	 4.021700e-01 	  3.578678e-01 	 1.663525e+00
5.315308e+02 	 4.450941e-01 	 4.007919e-01 	  3.564896e-01 	 1.723859e+00
4.783912e+02 	 4.433975e-01 	 3.990953e-01 	  3.547930e-01 	 1.777004e+00
4.305642e+02 	 4.413102e-01 	 3.970080e-01 	  3.527058e-01 	 1.822093e+00
3.875187e+02 	 4.387445e-01 	 3.944423e-01 	  3.501401e-01 	 1.858457e+00
3.487767e+02 	 4.355939e-01 	 3.912916e-01 	  3.469894e-01 	 1.885577e+00
3.139079e+02 	 4.317298e-01 	 3.874276e-01 	  3.431254e-01 	 1.903017e+00
2.825250e+02 	 4.269983e-01 	 3.826961e-01 	  3.383939e-01 	 1.910348e+00
2.542797e+02 	 4.212161e-01 	 3.769139e-01 	  3.326116e-01 	 1.907075e+00
2.288582e+02 	 4.141673e-01 	 3.698650e-01 	  3.255628e-01 	 1.892572e+00
2.059782e+02 	 4.056011e-01 	 3.612989e-01 	  3.169967e-01 	 1.866034e+00
1.853856e+02 	 3.952321e-01 	 3.509299e-01 	  3.066276e-01 	 1.826449e+00
1.668517e+02 	 3.827438e-01 	 3.384416e-01 	  2.941394e-01 	 1.772610e+00
1.501708e+02 	 3.675712e-01 	 3.234984e-01 	  2.794255e-01 	 1.703162e+00
1.351575e+02 	 3.496536e-01 	 3.057692e-01 	  2.618848e-01 	 1.616735e+00
1.216452e+02 	 3.287005e-01 	 2.849730e-01 	  2.412455e-01 	 1.512182e+00
1.094837e+02 	 3.045530e-01 	 2.609598e-01 	  2.173665e-01 	 1.389022e+00
9.853815e+01 	 2.773283e-01 	 2.338558e-01 	  1.903834e-01 	 1.248215e+00
8.868683e+01 	 2.476796e-01 	 2.043249e-01 	  1.609703e-01 	 1.093556e+00
