FIC-2101~FIC-2001  
  FreqPeriod(min) 	 Unc_UB 	 Bode 	 Unc_LB 	 S/N_Ratio
6.561739e+02 	 2.355332e-01 	 1.682262e-01 	  1.009192e-01 	 3.060355e-01
5.905732e+02 	 2.347450e-01 	 1.674380e-01 	  1.001310e-01 	 3.218784e-01
5.315308e+02 	 2.337840e-01 	 1.664770e-01 	  9.917003e-02 	 3.379929e-01
4.783912e+02 	 2.326160e-01 	 1.653090e-01 	  9.800203e-02 	 3.539208e-01
4.305642e+02 	 2.312022e-01 	 1.638953e-01 	  9.658828e-02 	 3.691251e-01
3.875187e+02 	 2.295002e-01 	 1.621932e-01 	  9.488622e-02 	 3.830108e-01
3.487767e+02 	 2.274653e-01 	 1.601584e-01 	  9.285140e-02 	 3.949566e-01
3.139079e+02 	 2.250555e-01 	 1.577485e-01 	  9.044152e-02 	 4.043573e-01
2.825250e+02 	 2.222377e-01 	 1.549307e-01 	  8.762374e-02 	 4.106784e-01
2.542797e+02 	 2.190013e-01 	 1.516943e-01 	  8.438731e-02 	 4.135233e-01
2.288582e+02 	 2.153784e-01 	 1.480714e-01 	  8.076448e-02 	 4.127198e-01
2.059782e+02 	 2.114772e-01 	 1.441702e-01 	  7.686322e-02 	 4.084319e-01
1.853856e+02 	 2.075292e-01 	 1.402222e-01 	  7.291526e-02 	 4.013033e-01
1.668517e+02 	 2.039522e-01 	 1.366452e-01 	  6.933827e-02 	 3.926188e-01
1.501708e+02 	 2.015667e-01 	 1.341034e-01 	  6.664021e-02 	 3.844231e-01
1.351575e+02 	 2.015698e-01 	 1.335189e-01 	  6.546788e-02 	 3.794415e-01
1.216452e+02 	 2.050315e-01 	 1.359466e-01 	  6.686174e-02 	 3.805591e-01
1.094837e+02 	 2.128260e-01 	 1.422424e-01 	  7.165884e-02 	 3.897284e-01
9.853815e+01 	 2.251570e-01 	 1.525923e-01 	  8.002759e-02 	 4.066716e-01
8.868683e+01 	 2.411721e-01 	 1.661380e-01 	  9.110393e-02 	 4.282005e-01
7.982040e+01 	 2.588534e-01 	 1.808856e-01 	  1.029178e-01 	 4.486683e-01
7.184038e+01 	 2.751763e-01 	 1.938948e-01 	  1.126134e-01 	 4.613300e-01
